Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA20,MA50,MA200,Daily_Return,Volatility_20d,Year,Month
1962-01-02,0.050015919,0.051377655,0.050015919,0.050015919,806400,0.0,0,,,,,,1962,1
1962-01-03,0.049273152,0.049273152,0.048158817,0.048901577,1574400,0.0,0,,,,-0.022279746574285664,,1962,1
1962-01-04,0.04902556,0.049644525,0.04902556,0.049273148,844800,0.0,0,,,,0.007598343914348549,,1962,1
1962-01-05,0.049273136,0.049892101,0.048035008,0.048158802,1420800,0.0,0,,,,-0.02261568511920531,,1962,1
1962-01-08,0.047787438,0.047787438,0.046735094,0.047663644,2035200,0.0,0,,,,-0.010281775696995177,,1962,1
1962-01-09,0.047663653,0.048777794,0.04729227,0.048530206,960000,0.0,0,,,,0.018180775267623295,,1962,1
1962-01-10,0.048530189,0.049458742,0.048035019,0.048777778,1612800,0.0,0,,,,0.005101400146539703,,1962,1
1962-01-11,0.048777779,0.049273148,0.048530191,0.049273148,614400,0.0,0,,,,0.010155649156466273,,1962,1
1962-01-12,0.049273152,0.049273152,0.048406406,0.048901577,883200,0.0,0,,,,-0.0075410444650299,,1962,1
1962-01-15,0.048777799,0.048777799,0.048282628,0.048406422,614400,0.0,0,,,,-0.01012554257708298,,1962,1
1962-01-16,0.048282587,0.048282587,0.047477832,0.047539823,1113600,0.0,0,,,,-0.01790256259799572,,1962,1
1962-01-17,0.047539842,0.047539842,0.046054319,0.046054319,1574400,0.0,0,,,,-0.03124757111527321,,1962,1
1962-01-18,0.046054294,0.046301879,0.044939961,0.045125745,2649600,0.0,0,,,,-0.020162582362796444,,1962,1
1962-01-19,0.045558959,0.046549499,0.045558959,0.046549499,1459200,0.0,0,,,,0.03155081428572526,,1962,1
1962-01-22,0.046549483,0.04704466,0.04605431,0.046920866,1075200,0.0,0,,,,0.00797789467078891,,1962,1
1962-01-23,0.046797083,0.046797083,0.045930337,0.045930337,768000,0.0,0,,,,-0.021110629117544355,,1962,1
1962-01-24,0.045930341,0.046054325,0.044568608,0.045435164,2611200,0.0,0,,,,-0.010780957257073953,,1962,1
1962-01-25,0.04543521,0.046178163,0.045063827,0.045063827,1574400,0.0,0,,,,-0.008172898858690103,,1962,1
1962-01-26,0.045063779,0.045063779,0.044321017,0.044568606,1574400,0.0,0,,,,-0.010989324098017783,,1962,1
1962-01-29,0.044568606,0.0446924,0.044444812,0.044568606,307200,0.0,0,0.04728295065,,,0.0,,1962,1
1962-01-30,0.044568625,0.044940008,0.04438284,0.04438284,1574400,0.0,0,0.0470012967,,,-0.004168090875447117,0.015623021298151919,1962,1
1962-01-31,0.044568638,0.046178147,0.044568638,0.046178147,1766400,0.0,0,0.0468651252,,,0.04045047590465156,0.018228622434217294,1962,1
1962-02-01,0.046549499,0.047292261,0.046549499,0.046549499,1420800,0.0,0,0.046728942749999995,,,0.008041725883890516,0.01824207613587492,1962,2
1962-02-02,0.046549492,0.047044668,0.04580654,0.047044668,1152000,0.0,0,0.04667323605,,,0.010637472166993511,0.017840611816003195,1962,2
1962-02-05,0.047044668,0.047044668,0.046673286,0.047044668,384000,0.0,0,0.04664228725,,,0.0,0.017707301101336885,1962,2
1962-02-06,0.047044648,0.047044648,0.046425678,0.046425678,691200,0.0,0,0.04653706085,,,-0.013157495340385905,0.017349699160474377,1962,2
1962-02-07,0.046425684,0.046673272,0.046425684,0.046673272,192000,0.0,0,0.04643183555,,,0.0053331262065792195,0.017354818492943333,1962,2
1962-02-08,0.046673291,0.047044674,0.046178115,0.046797086,768000,0.0,0,0.046308032449999995,,,0.0026527816605614873,0.017156814958016048,1962,2
1962-02-09,0.04679708,0.047044668,0.046549492,0.047044668,729600,0.0,0,0.046215187000000005,,,0.0052905430906531326,0.01719572777753156,1962,2
1962-02-12,0.047044654,0.047168445,0.046673272,0.046673272,307200,0.0,0,0.0461285295,,,-0.007894539717019478,0.01714600116926773,1962,2
1962-02-13,0.046673272,0.04692086,0.046673272,0.046673272,652800,0.0,0,0.04608520195,,,0.0,0.016716585378725526,1962,2
1962-02-14,0.046673292,0.046673292,0.045806546,0.045806546,652800,0.0,0,0.0460728133,,,-0.01857007153901713,0.015710886824683346,1962,2
1962-02-15,0.045806536,0.046178106,0.045558948,0.045558948,652800,0.0,0,0.04609447345,,,-0.0054052973127464155,0.015054530786432622,1962,2
1962-02-16,0.045558948,0.046425694,0.045558948,0.045558948,1190400,0.0,0,0.0460449459,,,0.0,0.013174499428233415,1962,2
1962-02-19,0.045930299,0.046301868,0.045930299,0.046301868,345600,0.0,0,0.046013996,,,0.01630678566151267,0.013597838027495405,1962,2
1962-02-20,0.046301904,0.046425698,0.045930335,0.046054319,460800,0.0,0,0.0460201951,,,-0.00534641496537458,0.012777053791243482,1962,2
1962-02-21,0.046054324,0.046425703,0.045806546,0.045806546,691200,0.0,0,0.046038764200000006,,,-0.005380016584329628,0.012588178619838035,1962,2
1962-02-23,0.045806549,0.046425707,0.045311373,0.045311373,1036800,0.0,0,0.046051141500000004,,,-0.010810092513851455,0.012696945248107563,1962,2
1962-02-26,0.045311364,0.046425698,0.045063776,0.046054319,768000,0.0,0,0.04612542715,,,0.016396457463339287,0.012885055646551635,1962,2
1962-02-27,0.046054283,0.046425662,0.046054283,0.046301868,460800,0.0,0,0.046212090250000004,,,0.00537515276254541,0.01290336109781766,1962,2
1962-02-28,0.046178116,0.046178116,0.04531137,0.045435164,652800,0.0,0,0.04626470645,,,-0.018718553644531233,0.013656895357703784,1962,2
1962-03-01,0.045435185,0.045435185,0.044568628,0.045187596,19545600,0.0,0,0.0462151789,,,-0.005448819332973143,0.010124207506779916,1962,3
1962-03-02,0.045311365,0.045682747,0.045311365,0.045682747,806400,0.0,0,0.0461718413,,,0.010957675199185335,0.010281571000906977,1962,3
1962-03-05,0.045682798,0.045682798,0.045063827,0.045063827,652800,0.0,0,0.046072799250000004,,,-0.013548222045403735,0.010276824038890587,1962,3
1962-03-06,0.045558952,0.046054319,0.045558952,0.046054319,883200,0.0,0,0.0460232818,,,0.021979757733403327,0.011602735267551602,1962,3
1962-03-07,0.046054325,0.046054325,0.045435164,0.045435164,691200,0.0,0,0.0459737561,,,-0.013444015967319034,0.01161870304687289,1962,3
1962-03-08,0.045435154,0.04593033,0.04531136,0.045558948,883200,0.0,0,0.0459180399,,,0.0027244096664864603,0.011558186895297447,1962,3
1962-03-09,0.045559004,0.045744789,0.044692447,0.045063827,1113600,0.0,0,0.04583137695,,,-0.010867700456999141,0.011718705865299857,1962,3
1962-03-12,0.045558952,0.046054319,0.045558952,0.046054319,998400,0.0,0,0.0457818595,,,0.021979757733403327,0.01279634070026894,1962,3
1962-03-13,0.046415665,0.04678946,0.046415665,0.04678946,1344000,0.001563,0,0.0457876689,0.04652452378000001,,0.015962476830891692,0.01322324615616798,1962,3
1962-03-14,0.046789469,0.04697646,0.046602666,0.046851862,1689600,0.0,0,0.0457965984,0.04646124264000001,,0.0013336764305464932,0.01322550908268294,1962,3
1962-03-15,0.046851829,0.046976427,0.046602633,0.046602633,883200,0.0,0,0.04583640275,0.04641526376,,-0.005319511100754237,0.012546295813140167,1962,3
1962-03-16,0.046602633,0.046789436,0.046602633,0.046602633,768000,0.0,0,0.045888587,0.04636185346,,0.0,0.012460422311522406,1962,3
1962-03-19,0.046602666,0.047101059,0.046602666,0.046851862,921600,0.0,0,0.0459532327,0.04633571465999999,,0.005347959631379684,0.01249051192011083,1962,3
1962-03-20,0.046851865,0.047350258,0.046851865,0.047350258,1305600,0.0,0,0.0460056522,0.04632944694,,0.010637698881636792,0.012197066567606274,1962,3
1962-03-21,0.047599454,0.048222446,0.047599454,0.047973249,2188800,0.0,0,0.0461015987,0.04631830780000001,,0.013157077201142231,0.012375582655282253,1962,3
1962-03-22,0.048097835,0.048720826,0.048097835,0.04847163,1344000,0.0,0,0.0462348529,0.04631218484,,0.010388727267565345,0.012375205649345649,1962,3
1962-03-23,0.048845435,0.049717817,0.048845435,0.049344022,1497600,0.0,0,0.04643648535,0.04631360232000001,,0.017997991815005943,0.012371474580735056,1962,3
1962-03-26,0.049344027,0.049717822,0.04859625,0.048720848,1420800,0.0,0,0.0465698118,0.04630998774,,-0.012629169142312824,0.012583931884727503,1962,3
1962-03-27,0.048471624,0.048471624,0.04809783,0.048347026,844800,0.0,0,0.0466720697,0.046308799819999996,,-0.007672731804667987,0.012785108616460233,1962,3
1962-03-28,0.048347044,0.048347044,0.047973249,0.047973249,460800,0.0,0,0.04679897395,0.04631746834,,-0.007731127039747987,0.012052138837519103,1962,3
1962-03-29,0.047973236,0.048596227,0.047848638,0.048097834,1036800,0.0,0,0.04694448585,0.04635833864,,0.002596968156148849,0.011895918333227626,1962,3
1962-03-30,0.048097844,0.048097844,0.047350258,0.047350258,1382400,0.0,0,0.047027861399999996,0.0464028289,,-0.015542820493746112,0.012448524672178756,1962,3
1962-04-02,0.047350261,0.048222446,0.047101064,0.047973249,1152000,0.0,0,0.0471733325,0.0464313039,,0.013157077201142231,0.012136282633687843,1962,4
1962-04-03,0.047973277,0.048222474,0.046104117,0.0464781,1228800,0.0,0,0.04719452154999999,0.046422448580000004,,-0.031166306872398852,0.0135451226302075,1962,4
